EPA Region,State,# of Majors in ICIS-NPDES,# of Non-Majors in ICIS-NPDES,# of Majors w/ Pollutant Loadings,# of Non-Majors w/ Pollutant Loadings,% of Majors w/ Pollutant Loadings,% of Non-Majors w/ Pollutant Loadings,Total Pollutant Pounds (lb/yr) for Majors,Total Pollutant Pounds (lb/yr) for Non-Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Majors,Total Toxic-Weighted Pounds (lb-eq/yr) for Non-Majors,PropercaseName
4,ALABAMA,177,1194,176,1062,99.43502825,88.94472362,1988365586,480355358.5,657682.927,977754.8161,Alabama
10,ALASKA,42,45,38,33,90.47619048,73.33333333,90042615.5,6180642.126,53000.15069,220.9815608,Alaska
9,ARIZONA,73,104,65,98,89.04109589,94.23076923,1027804601,22179468.65,259026.6081,1573.952827,Arizona
6,ARKANSAS,182,694,116,687,63.73626374,98.99135447,453332800.9,69563725.01,226768.7769,68165.40669,Arkansas
9,CALIFORNIA,242,210,227,193,93.80165289,91.9047619,3741231239,94697076.54,99570793.97,161042101.2,California
8,COLORADO,126,455,120,284,95.23809524,62.41758242,511124371.1,358750176.4,56901.19832,13641.19688,Colorado
1,CONNECTICUT,86,70,86,64,100,91.42857143,40234062.96,63410586.15,745019.964,6246.344328,Connecticut
3,DELAWARE,17,30,16,27,94.11764706,90,7999711.252,347607.9569,382079.7774,989.3740531,Delaware
4,FLORIDA,402,274,168,239,41.79104478,87.22627737,323480614.7,238257889.8,554870.4775,918790.9853,Florida
4,GEORGIA,199,562,192,480,96.48241206,85.40925267,312669467.7,11952065.64,118562.4681,10181.5672,Georgia
9,HAWAII,18,233,17,35,94.44444444,15.02145923,75079773.46,875377.7164,232227.41,2512.721628,Hawaii
10,IDAHO,39,127,38,108,97.43589744,85.03937008,102437019.4,4562449.487,14653.15571,2046.738952,Idaho
5,ILLINOIS,269,1248,269,1162,100,93.10897436,901440255.5,203014956.9,1247638.725,189930.4328,Illinois
5,INDIANA,192,12901,192,1264,100,9.797690102,1417440162,243062779.7,1213647.053,13223.32882,Indiana
7,IOWA,141,1471,137,1147,97.16312057,77.97416723,82315732.62,221978259.1,43814.50745,85265.73026,Iowa
7,KANSAS,59,1367,59,691,100,50.54864667,187131898.9,70081132.1,135423.8458,5360.979508,Kansas
4,KENTUCKY,137,1360,135,1330,98.54014599,97.79411765,582071527.3,219092370.3,2844639.575,240262.7267,Kentucky
6,LOUISIANA,328,1046,241,1018,73.47560976,97.32313576,1.18123E+11,2087455562,14392298.88,103590.978,Louisiana
1,MAINE,74,344,71,192,95.94594595,55.81395349,86352131.07,1259846.329,14368.04563,1811.137206,Maine
3,MARYLAND,94,429,81,360,86.17021277,83.91608392,35884544.08,84363070.83,776512.7538,101398.0566,Maryland
1,MASSACHUSETTS,117,109,112,100,95.72649573,91.74311927,2373693250,13961221.9,354682.7335,17992.09733,Massachusetts
5,MICHIGAN,183,498,176,371,96.17486339,74.49799197,1004613831,654775027.9,1109042.742,235483.3517,Michigan
5,MINNESOTA,102,595,100,248,98.03921569,41.68067227,2417585878,158427156.2,229033.6088,12863.4013,Minnesota
4,MISSISSIPPI,90,1157,90,1070,100,92.48055315,48132013.15,157713125.4,45276.52294,53595.08144,Mississippi
7,MISSOURI,176,2708,176,2226,100,82.20088626,523615800.3,11169892404,1113710.639,15593203.94,Missouri
8,MONTANA,33,154,33,139,100,90.25974026,131548644.5,39485754.86,22621.91993,1428284.013,Montana
7,NEBRASKA,52,630,51,552,98.07692308,87.61904762,279607128.2,1760092301,26641.55042,208156.4098,Nebraska
9,NEVADA,14,83,10,66,71.42857143,79.51807229,567711138.6,109145817,9166.465954,15406.5608,Nevada
1,NEW HAMPSHIRE,48,34,48,34,100,100,146580264.7,784764.7118,17203.96448,835.017731,New Hampshire
2,NEW JERSEY,135,347,134,313,99.25925926,90.20172911,362797014.4,29265386.85,169894.4738,1553.386712,New Jersey
6,NEW MEXICO,33,99,33,86,100,86.86868687,144341065.6,7944970.444,18440455.26,589.6986168,New Mexico
2,NEW YORK,315,1211,310,1030,98.41269841,85.05367465,1069714386,321431631.7,1801479.914,168039.9725,New York
4,NORTH CAROLINA,225,1230,216,894,96,72.68292683,244462534.2,6564471488,54688.66798,137912.2491,North Carolina
8,NORTH DAKOTA,24,91,24,84,100,92.30769231,161343953.4,46792476.06,56314.94825,46573.43353,North Dakota
5,OHIO,289,3105,288,2985,99.65397924,96.1352657,8533036756,5705868643,379784.6005,492734.7413,Ohio
6,OKLAHOMA,107,362,105,361,98.13084112,99.72375691,1408550476,1218863354,1234471.911,21048.23185,Oklahoma
10,OREGON,74,280,66,224,89.18918919,80,130907148.9,15232685.68,23637.51853,6579.00994,Oregon
3,PENNSYLVANIA,409,6238,404,2389,98.77750611,38.29753126,3152723883,1388776131,3454890.449,739722.351,Pennsylvania
1,RHODE ISLAND,23,51,23,42,100,82.35294118,15734146.32,8596619.526,2801240.112,2139.608748,Rhode Island
4,SOUTH CAROLINA,160,244,155,222,96.875,90.98360656,153953052.5,4330045.868,9742289694,229185.4642,South Carolina
